time,open,high,low,close,Entry,Stop,Target,MA fast,MA slow,Exh Top,Exh Bot,EMA 9,EMA 21,EMA 50,EMA 200,VWAP,VWAP +1σ,VWAP -1σ,Volume
1767009600,25770.25,25776.75,25734.25,25746.5,,,,25830.4875,25845.305,0,0,25780.821230604513,25814.615161938167,25816.829361987613,25641.159361996637,25855.578508035043,25896.395129085995,25814.76188698409,4009
1767013200,25745.5,25762.75,25660.75,25693,,,,25821.45,25843.305,0,0,25763.25698448361,25803.559238125606,25811.973308576333,25641.67518924045,25845.948253576196,25899.90791556156,25791.988591590834,11509
1767016800,25694.75,25819,25656.75,25724.5,,,,25814.0875,25842.04,0,0,25755.50558758689,25796.372034659642,25808.54298274981,25642.499316710695,25815.77742661661,25883.717816808592,25747.837036424626,65703
1767020400,25723,25772.75,25661.75,25702.75,,,,25804.6375,25840.305,0,0,25744.95447006951,25787.860940599676,25804.39423832825,25643.098825997156,25794.48771560336,25868.056779677692,25720.91865152903,63570
1767024000,25702.5,25718.25,25680,25695.5,,,,25794.85,25838.24,0,0,25735.06357605561,25779.46449145425,25800.123876040867,25643.6202307136,25697.916666666668,25697.916666666668,25697.916666666668,33192
1767027600,25695.5,25707.75,25648,25700,,,,25786.5125,25836.385,0,0,25728.050860844487,25772.240446776592,25796.19744952946,25644.181223442818,25692.000565983206,25698.32014096347,25685.68099100294,29089
1767031200,25699.25,25729,25680.5,25694.5,,,,25778.4375,25834.435,0,0,25721.34068867559,25765.173133433265,25792.209314253796,25644.68190778667,25694.555729488537,25701.361667349818,25687.749791627255,23480
1767034800,25694,25774.25,25683.5,25765.5,,,,25773.1875,25833.43,0,0,25730.17255094047,25765.202848575696,25791.16189016541,25645.884077858445,25706.12832664646,25727.088284751597,25685.168368541323,28393
1767038400,25765.75,25766.25,25729.25,25741,,,,25765.675,25831.8,0,0,25732.338040752376,25763.00258961427,25789.19475721775,25646.83050494443,25714.547663647947,25739.164177238734,25689.93115005716,31051
1767042000,25741.25,25748.5,25727.75,25744.5,,,,25760.8,25830.495,0,0,25734.7704326019,25761.320536012972,25787.44202164058,25647.802340716127,25715.778125122946,25740.417004736744,25691.139245509148,7301
1767049200,25740,25747.75,25705.25,25707.25,,,,25753.8625,25828.065,0,0,25729.26634608152,25756.405032739065,25784.297236478207,25648.393859713975,25715.87856683894,25740.237004939594,25691.520128738284,3643
1767052800,25707.5,25727,25700.25,25704.5,,,,25746.45,25824.63,0,0,25724.313076865215,25751.68639339915,25781.167933086905,25648.95212976657,25715.793941876465,25739.966078434565,25691.621805318366,2536
1767056400,25705,25725.25,25696.75,25724,,,,25739.8625,25821.555,0,0,25724.25046149217,25749.169448544682,25778.926053358005,25649.69887474402,25715.78741473355,25739.78773397142,25691.787095495678,2281
1767060000,25724.5,25728.5,25700.75,25710.25,,,,25734.375,25818.465,0,0,25721.450369193735,25745.631316858802,25776.232874794947,25650.301373502785,25715.755378686536,25739.61029514793,25691.90046222514,1992
1767063600,25711.5,25742,25709.5,25734.5,,,,25730.2875,25815.4,0,0,25724.06029535499,25744.619378962547,25774.596291469654,25651.139170781364,25715.91052706035,25739.663380884766,25692.157673235935,1982
1767067200,25736.25,25752.5,25729,25749.25,,,,25727.75,25812.32,0,0,25729.098236283993,25745.040344511406,25773.60231925516,25652.115397937767,25716.20302195935,25739.998887743885,25692.407156174817,1762
